OBJECTID,ZIPCODE,GIS_ID,WEB_URL,NAME,TYPE,LABEL,ZIP_CODE_TEXT,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
601,20418,ZIP_418,https://www.usps.com/,NATIONAL ACADEMY OF SCIENCES,UNIQUE,20418,20418,{5EB7214D-1E2B-4F10-8EAC-D06A302668EB},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
602,20419,ZIP_419,https://www.usps.com/,MERIT SYSTEMS PROTECTION BOARD,UNIQUE,20419,20419,{F5139F59-7145-486A-8A7B-8A63CED0312C},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
603,20420,ZIP_420,https://www.usps.com/,DEPARTMENT OF VETERANS AFFAIRS,UNIQUE,20420,20420,{11CF5FF9-9935-4F40-9A4A-E6CF42CDEA2E},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
604,20422,ZIP_422,https://www.usps.com/,VETERANS HOSPITAL,UNIQUE,20422,20422,{A79057C8-4903-4D6D-9F25-D70F13DB4D10},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
605,20423,ZIP_423,https://www.usps.com/,SURFACE TRANSPORTATION BOARD,UNIQUE,20423,20423,{E03B52BD-85D4-4A15-83CF-2715F8D61CB4},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
606,20425,ZIP_425,https://www.usps.com/,U.S. COMMISSION ON CIVIL RIGHTS,UNIQUE,20425,20425,{9E0F67DB-C420-4440-B13B-3CB8D936B1CA},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
607,20426,ZIP_426,https://www.usps.com/,FEDERAL REGULATORY ENERGY COMMISSION,UNIQUE,20426,20426,{13EF66D4-213C-42CE-A85F-C149BD9F5EC0},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
608,20427,ZIP_427,https://www.usps.com/,FEDERAL MEDIATION & COUNSEL SERVICE,UNIQUE,20427,20427,{4314B86F-C2D8-4EB8-9898-4D06529E8666},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
609,20429,ZIP_249,https://www.usps.com/,FEDERAL DEPOSIT INSURANCE CORPORATION,UNIQUE,20429,20429,{29E49335-0AEF-4C78-BAB2-3FC63506EF49},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
610,20431,ZIP_431,https://www.usps.com/,INTERNATIONAL MONETARY FUND,UNIQUE,20431,20431,{62C107A5-3B17-4D1F-BB1D-13320DCFB921},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
611,20433,ZIP_433,https://www.usps.com/,WORLD BANK,UNIQUE,20433,20433,{84432637-01F1-4E5F-8CD2-AC3F9665754E},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
612,20436,ZIP_436,https://www.usps.com/,INTERNATIONAL TRADE COMMISSION,UNIQUE,20436,20436,{A324EDF1-4E72-4E7F-AB5B-1965DE2C8A87},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
613,20437,ZIP_437,https://www.usps.com/,UN FOOD AND AGRICULTURAL ORGANIZATION,UNIQUE,20437,20437,{120A4C5C-935F-4723-A767-383C16DDCA9C},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
614,20439,ZIP_439,https://www.usps.com/,UNITED STATES COURT OF APPEALS FOR THE FEDERAL CIRCUIT,UNIQUE,20439,20439,{B9FA4676-A1B8-4A11-AA61-1509C54E272F},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
615,20440,ZIP_440,https://www.usps.com/,INTERNATIONAL JOINT COMMISSION,UNIQUE,20440,20440,{69E7844D-1648-405F-8758-0A1BB72BA39D},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
616,20441,ZIP_441,https://www.usps.com/,INTER AMERICAN DEFENSE BOARD,UNIQUE,20441,20441,{45FCA056-CD94-4015-8FF9-7B0FFC83BF0E},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
617,20442,ZIP_442,https://www.usps.com/,COURT OF MILITARY APPEALS,UNIQUE,20442,20442,{B753F0DA-5FB4-4699-8723-482F65D452F4},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
618,20444,ZIP_444,https://www.usps.com/,TENNESSEE VALLEY AUTHORITY,UNIQUE,20444,20444,{01E47306-5C56-422D-8F9C-86B102B309F7},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
619,20451,ZIP_451,https://www.usps.com/,ARMS CONTROL AND DISARMAMENT AGENCY,UNIQUE,20451,20451,{2356D4F2-FFCB-445F-A5FC-D40E3D1117E5},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
620,20460,ZIP_460,https://www.usps.com/,ENVIROMENTAL PROTECTION AGENCY,UNIQUE,20460,20460,{12A60210-7A01-4E8E-BAFC-DC845BFC13A4},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
621,20463,ZIP_463,https://www.usps.com/,BUREAU OF PUBLIC DEBT,UNIQUE,20463,20463,{94D2BAB6-1C47-4083-9D05-1C27C844F724},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
622,20472,ZIP_472,https://www.usps.com/,FEDERAL EMERGENCY MANAGEMENT AGENCY,UNIQUE,20472,20472,{727D31DA-2106-44BC-B252-D461C79EC7D9},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
623,20500,ZIP_500,https://www.usps.com/,WHITE HOUSE,UNIQUE,20500,20500,{89D56347-9331-4031-8982-014E92D55972},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
624,20501,ZIP_501,https://www.usps.com/,WHITE HOUSE,UNIQUE,20501,20501,{917292D5-B62D-4BC9-9627-C5EA9AB97F5A},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
625,20502,ZIP_502,https://www.usps.com/,WHITE HOUSE PRESIDENT'S OFFICE,UNIQUE,20502,20502,{66158999-A91B-4DCE-B68F-12812B8AD7D6},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
626,20503,ZIP_503,https://www.usps.com/,OFFICE OF MANAGEMENT AND BUDGET,UNIQUE,20503,20503,{9C2EF358-37B7-484D-BF36-84B32A7EB487},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
627,20505,ZIP_505,https://www.usps.com/,CENTRAL INTELLIGENCE AGENCY,UNIQUE,20505,20505,{78BAF42B-91FD-46EC-A928-2884F095886C},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
628,20506,ZIP_506,https://www.usps.com/,EXECUTIVE OFFICE OTHER ORGANIZATIONS,UNIQUE,20506,20506,{1E6F1139-A300-4DF7-9942-6812B8FF0043},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
629,20507,ZIP_507,https://www.usps.com/,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,UNIQUE,20507,20507,{A37F15C3-91EA-433D-BA03-C40EACEFF4D9},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
630,20508,ZIP_508,https://www.usps.com/,UNITED STATES TRADE REPRESENATIVE,UNIQUE,20508,20508,{A78A6456-1B97-4E3B-B848-7ACBA2DB248A},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
631,20509,ZIP_509,https://www.usps.com/,EXECUTIVE OFFICE OF THE PRESIDENT,UNIQUE,20509,20509,{EB8BED4C-2CE3-4E55-A5C7-B1F523879024},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
632,20510,ZIP_510,https://www.usps.com/,UNITED STATES SENATE,UNIQUE,20510,20510,{AB46F482-0886-44ED-9EC9-A8FC024EF46F},JLAY,2022/10/14 21:56:15+00,JLAY,2022/10/14 21:56:15+00,0,0
